1DS1:	HEADER    OXIDOREDUCTASE,LYASE                    06-JAN-00   1DS1              
4PH8:	HEADER    CELL ADHESION                           05-MAY-14   4PH8              
4OCV:	HEADER    TRANSFERASE                             09-JAN-14   4OCV              
5JUG:	HEADER    HYDROLASE                               10-MAY-16   5JUG              
2CNQ:	HEADER    LIGASE                                  23-MAY-06   2CNQ              
4PHJ:	HEADER    HYDROLASE                               06-MAY-14   4PHJ              
3U3L:	HEADER    PROTEIN BINDING                         06-OCT-11   3U3L              
5BOB:	HEADER    TRANSLATION                             27-MAY-15   5BOB              
2AML:	HEADER    TRANSFERASE                             09-AUG-05   2AML              
4PHR:	HEADER    TRANSFERASE                             06-MAY-14   4PHR              
4XJ5:	HEADER    TRANSFERASE                             08-JAN-15   4XJ5              
4MBY:	HEADER    VIRAL PROTEIN                           21-AUG-13   4MBY              
2OIZ:	HEADER    OXIDOREDUCTASE                          12-JAN-07   2OIZ              
5BOW:	HEADER    SIGNALING PROTEIN                       27-MAY-15   5BOW              
2END:	HEADER    ENDONUCLEASE                            08-AUG-94   2END              
5JGK:	HEADER    TRANSFERASE                             20-APR-16   5JGK              
3R2Q:	HEADER    TRANSFERASE                             14-MAR-11   3R2Q              
4G3O:	HEADER    LIGASE                                  15-JUL-12   4G3O              
3IPJ:	HEADER    TRANSFERASE                             17-AUG-09   3IPJ              
1VZM:	HEADER    CALCIUM-BINDING PROTEIN                 21-MAY-04   1VZM              
1JI7:	HEADER    TRANSCRIPTION                           29-JUN-01   1JI7              
3TVT:	HEADER    ANTITUMOR PROTEIN/PROTEIN BINDING       20-SEP-11   3TVT              
3EF8:	HEADER    LYASE                                   08-SEP-08   3EF8              
4R5R:	HEADER    TOXIN                                   21-AUG-14   4R5R              
4OUS:	HEADER    SIGNALING PROTEIN                       18-FEB-14   4OUS              
1SEN:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   17-FEB-04   1SEN              
3NFT:	HEADER    TRANSPORT PROTEIN                       10-JUN-10   3NFT              
4MAK:	HEADER    HYDROLASE                               16-AUG-13   4MAK              
2VH3:	HEADER    UNKNOWN FUNCTION                        17-NOV-07   2VH3              
4O0C:	HEADER    HYDROLASE                               13-DEC-13   4O0C              
4O0A:	HEADER    DNA BINDING PROTEIN/INHIBITOR           13-DEC-13   4O0A              
2R6J:	HEADER    PLANT PROTEIN                           05-SEP-07   2R6J              
5LI7:	HEADER    OXIDOREDUCTASE                          14-JUL-16   5LI7              
4HCS:	HEADER    SIGNALING PROTEIN                       01-OCT-12   4HCS              
3HZ8:	HEADER    OXIDOREDUCTASE                          23-JUN-09   3HZ8              
3SBM:	HEADER    TRANSFERASE                             06-JUN-11   3SBM              
2Z0J:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   07-MAY-07   2Z0J              
4HCJ:	HEADER    HYDROLASE                               30-SEP-12   4HCJ              
2GRR:	HEADER    LIGASE                                  24-APR-06   2GRR              
1XGK:	HEADER    TRANSCRIPTION                           17-SEP-04   1XGK              
2R6U:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   06-SEP-07   2R6U              
4HC9:	HEADER    TRANSCRIPTION/DNA                       28-SEP-12   4HC9              
5AGR:	HEADER    LIGASE                                  03-FEB-15   5AGR              
4FR9:	HEADER    UNKNOWN FUNCTION                        26-JUN-12   4FR9              
1XG0:	HEADER    PHOTOSYNTHESIS                          16-SEP-04   1XG0              
4QY7:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   23-JUL-14   4QY7              
3DKR:	HEADER    HYDROLASE                               25-JUN-08   3DKR              
3QC7:	HEADER    VIRAL PROTEIN                           15-JAN-11   3QC7              
1H16:	HEADER    TRANSFERASE                             03-JUL-02   1H16              
3N08:	HEADER    PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN13-MAY-10   3N08              
2JHF:	HEADER    OXIDOREDUCTASE                          22-FEB-07   2JHF              
5AGD:	HEADER    HYDROLASE                               29-JAN-15   5AGD              
1XUB:	HEADER    BIOSYNTHETIC PROTEIN                    26-OCT-04   1XUB              
3G5T:	HEADER    TRANSFERASE                             05-FEB-09   3G5T              
2HLY:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   10-JUL-06   2HLY              
4KDW:	HEADER    CELL ADHESION                           25-APR-13   4KDW              
3KUV:	HEADER    HYDROLASE                               27-NOV-09   3KUV              
3GVE:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   30-MAR-09   3GVE              
3NNB:	HEADER    LYASE                                   23-JUN-10   3NNB              
5A0R:	HEADER    HYDROLASE                               22-APR-15   5A0R              
4IYA:	HEADER    TOXIN                                   28-JAN-13   4IYA              
1OU8:	HEADER    TRANSPORT PROTEIN                       24-MAR-03   1OU8              
